"ensembl"	"symbol"	"MOCK_DMSO_8"	"MOCK_DMSO_8.1"	"MOCK_DMSO_8.2"	"UVC_DMSO_8"	"UVC_DMSO_8.1"	"UVC_DMSO_8.2"	"MOCK_TPA_8"	"MOCK_TPA_8.1"	"MOCK_TPA_8.2"	"UVC_TPA_8"	"UVC_TPA_8.1"	"UVC_TPA_8.2"
"ENSG00000000003.14"	TSPAN6	0	0	0	0	0	0	0	3	0	0	0	0
"ENSG00000000005.5"	TNMD	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000000419.12"	DPM1	135453	130953	102734	80839	91088	72123	236325	214504	88923	91338	88853	97268
"ENSG00000000457.13"	SCYL3	27018	23506	16255	24276	23531	23993	37888	33123	17078	20303	21210	18451
"ENSG00000000460.16"	C1orf112	48953	43257	31554	27619	25422	24248	68106	54035	26462	21165	21645	18930
"ENSG00000000938.12"	FGR	50893	50197	29954	42478	42134	55317	42557	39284	18114	28469	27132	22145
"ENSG00000000971.15"	CFH	0	0	50	0	0	0	50	27	0	50	0	0
"ENSG00000001036.13"	FUCA2	46967	40338	38261	22074	21930	20959	61748	53301	22159	17925	16895	17462
"ENSG00000001084.10"	GCLC	28946	24095	20769	18851	17321	16036	33024	27473	12425	14082	14125	13510
"ENSG00000001167.14"	NFYA	69802	65478	51830	73050	76516	67650	103748	92101	41982	55646	54357	57942
"ENSG00000001460.17"	STPG1	351	250	19	499	366	794	340	317	188	1031	1220	733
"ENSG00000001461.16"	NIPAL3	2169	2386	1416	1588	2025	1973	4515	4787	1719	3239	4407	3921
"ENSG00000001497.16"	LAS1L	152871	139811	107224	72676	74578	84354	214859	187792	79427	84361	87525	72194
"ENSG00000001561.6"	ENPP4	8283	8558	5867	11920	10913	10303	15562	12721	7567	12780	11461	10679
"ENSG00000001617.11"	SEMA3F	50	0	0	700	593	1482	50	4	50	550	521	325
"ENSG00000001626.14"	CFTR	50	0	0	100	150	426	150	0	5	142	497	450
"ENSG00000001629.9"	ANKIB1	44189	47208	32086	23128	21273	20482	69296	56952	29058	19137	19403	18404
"ENSG00000001630.15"	CYP51A1	87880	90744	72006	51267	60598	46140	207516	191967	83788	53674	51672	59515
"ENSG00000001631.15"	KRIT1	43237	45997	29829	24221	21081	22236	75787	54196	30381	15184	16847	15226
"ENSG00000002016.17"	RAD52	21007	20589	12958	18393	14809	21231	25685	18222	11955	14974	12991	9138
"ENSG00000002079.12"	NA	0	200	0	2294	1398	2352	189	249	50	1239	1171	1191
"ENSG00000002330.13"	BAD	28082	27222	22310	16209	24630	23073	32794	33146	13014	24778	21064	22706
"ENSG00000002549.12"	LAP3	90119	83355	64722	72298	81823	69251	182414	177472	75317	119991	119015	122804
"ENSG00000002586.18"	CD99	124039	117824	91342	61330	77347	76645	139172	123279	53881	62627	67605	63745
"ENSG00000002586.18_PAR_Y"	CD99	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000002587.9"	HS3ST1	50	0	0	0	0	0	0	41	0	106	0	50
"ENSG00000002726.20"	AOC1	1199	1138	553	500	629	1028	1047	637	400	279	250	600
"ENSG00000002745.12"	WNT16	0	0	0	0	0	0	100	0	54	150	150	0
"ENSG00000002746.14"	HECW1	50	50	100	50	0	0	150	200	50	512	200	200
"ENSG00000002822.15"	MAD1L1	46485	44933	33581	13950	21318	20136	55510	48577	22583	16586	15508	14638
"ENSG00000002834.17"	LASP1	197413	173783	141087	145011	173596	177470	276610	274872	113531	170528	169523	162660
"ENSG00000002919.14"	SNX11	52422	52213	35385	38838	47287	44823	90953	84748	36175	42551	41306	41415
"ENSG00000002933.7"	TMEM176A	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000003056.7"	M6PR	158064	146259	109017	134225	143679	137349	202312	170942	77684	140409	146315	124865
"ENSG00000003096.13"	KLHL13	200	0	150	0	0	131	685	798	300	250	299	200
"ENSG00000003137.8"	CYP26B1	0	0	0	0	150	150	0	0	0	0	0	0
"ENSG00000003147.17"	ICA1	1762	2765	1846	1244	1529	843	5672	5275	2526	2024	2249	2803
"ENSG00000003249.13"	DBNDD1	2390	2212	1284	735	996	1236	685	1136	150	996	1162	878
"ENSG00000003393.14"	ALS2	15015	14811	11155	14888	12319	12802	26252	21844	11671	14382	13575	11735
"ENSG00000003400.14"	CASP10	22357	23211	16462	34381	37067	34635	31905	33178	15630	37890	38598	35783
"ENSG00000003402.19"	CFLAR	94560	94205	65696	102343	102883	111821	209152	168749	87719	142563	127130	110443
"ENSG00000003436.14"	TFPI	295	227	233	0	1	50	548	948	337	400	593	383
"ENSG00000003509.15"	NDUFAF7	37843	36110	21439	28006	27540	25698	63832	51593	29708	29193	31251	26777
"ENSG00000003756.16"	RBM5	132339	134707	76237	134618	97498	126326	176262	113385	84673	114105	105730	76356
