"probe"	"gene"	"CTRL"	"CTRL.1"	"CTRL.2"	"IFN.1"	"IFN.1.1"	"IFN.1.2"	"TNF.1"	"TNF.1.1"	"TNF.1.2"	"TNF.IFN.1"	"TNF.IFN.1.1"	"TNF.IFN.1.2"
"1"	"RFC2"	"RFC2"	8.32476906456122	8.32476906456122	8.13276422638644	8.28235992819437	8.13012240194607	8.27162574959126	8.18876126617782	8.32476906456122	8.45381172929153	8.29928540473018	8.45720676234647	8.29155857637814
"2"	"HSPA6"	"HSPA6"	5.4132997372297	4.83009596258922	5.92978582793762	7.85437665891951	7.41977514944506	7.42833245288613	7.9672048522229	8.10376966978133	8.19197591668105	7.67765184422987	7.28135880659844	7.43203722981377
"3"	"PAX8"	"PAX8"	5.59419913244538	5.58164136006681	5.58164136006681	5.58164136006681	5.60243831443055	5.64965664520087	5.41871042340091	5.48762345964614	5.68752435862149	5.54769024365664	5.58164136006681	5.58383301810399
"4"	"UBA7"	"UBA7"	7.36166440789063	7.30765353598755	7.33639947330063	7.33639947330063	7.313804762627	7.09403304489941	7.34493682890126	7.29288244756656	7.48237971398582	7.66973722867564	7.45829383753795	7.33639947330063
"5"	"CCL5"	"CCL5"	9.98570759916216	8.99963797532425	10.3711030592863	4.52541385898123	4.55967821520392	5.68148758251631	6.84138894058827	7.03915993215922	7.7331786543095	4.51406821977514	4.44303875101477	5.11396773383839
"6"	"ESRRA"	"ESRRA"	6.33502425370742	6.37370575425424	6.53902674752124	6.53902674752124	6.53902674752124	6.67621396867508	7.11976590732963	6.54370242799498	6.67999902166947	6.43533729276209	6.53181319219945	6.2137809842558
"7"	"SCARB1"	"SCARB1"	9.31924540398051	9.21829297045861	9.13592169050143	9.54451135499105	9.68812986556366	9.53440845496534	9.468543268499	9.35397397588047	9.42936720819339	9.41656941069787	9.40806593708567	9.48702767628634
"8"	"TTLL12"	"TTLL12"	7.05689889398976	7.09674549707708	7.07823602073455	7.56691994058106	7.48916240890678	7.55404082702027	7.29048293129849	7.11979720793544	7.11890418068754	7.10750139110404	7.05248753977768	7.11890418068754
"9"	"MAPK1"	"MAPK1"	12.1930278101602	12.1918619606658	12.0885166145302	12.5432685587848	12.5327202750669	12.4060369315688	12.2775220690978	12.2551864797453	12.1684183168314	12.3173675772366	12.2578735593695	12.2334112590376
"10"	"PXK"	"PXK"	9.29427886537245	9.50884145128842	9.24016191636243	9.88826361940767	9.54720216196479	9.82543989035581	9.99681708888313	10.0127527666695	9.87655191322308	9.63629345423336	9.74445688667547	9.60341770450171
"11"	"MSANTD3"	"MSANTD3"	9.59090085113635	9.27473680590313	9.83187054211002	7.32165899264255	6.8885295283968	6.93671925127581	6.73887268200276	6.96306453310181	7.05018581580219	6.80137203085649	7.10899349829729	6.90554397514138
"12"	"SLC46A1"	"SLC46A1"	6.04829812941499	6.61751665922025	6.38452078951536	7.75384683559956	7.82937929930873	7.68217314655981	7.73630802132686	7.71251320478289	7.82049845757581	7.22204803522573	7.13192338568396	6.91911735428607
"13"	"AFG3L1P"	"AFG3L1P"	5.10423679163463	5.08763059690917	5.9790682635365	4.00981753753423	4.9294319519986	5.63759007057194	5.52057408765099	5.75240444777239	5.92723864812014	6.06095767417203	5.54229965590519	5.69788313903499
"14"	"PIGX"	"PIGX"	9.02015522768075	8.95540612906954	9.03664154962399	7.78388841434329	8.14129133807975	8.2365751868852	8.9130840224388	8.99909463056277	8.81335601500025	8.4625065352312	8.6801001303472	8.54693222883031
"15"	"TMEM106A"	"TMEM106A"	9.59867013135299	9.38517025181402	9.84145900452904	9.04655451841078	9.57253233887214	9.4145962614867	10.4135196146721	10.4607289358577	10.2423655462895	10.5854966928845	10.2615257749653	10.4193233929715
"16"	"ALG10"	"ALG10"	4.16965673819236	4.21617845298884	4.14202113373332	4.22030748257865	3.90664808371379	4.15156422904473	4.21601756166536	4.21617845298884	4.57810014326683	4.21617845298884	4.44091734831277	4.72687920842815
"17"	"TTC39C"	"TTC39C"	7.64950169622669	7.88118560199176	7.51537958612706	7.63891404678186	7.66846312453497	7.86086523191892	7.83530792250919	7.85877170655844	7.85099438453662	7.60525381700184	7.60023738475344	7.81305982574476
"18"	"NEXN"	"NEXN"	3.20809661535298	2.71274790769558	2.93637283069276	3.34793626570182	3.33283737797941	3.34793626570182	6.11666730060119	6.23296927713164	6.56324121465069	9.86549898427758	9.49239015989719	9.65878047352545
"19"	"C15orf40"	"C15orf40"	8.25509755291631	8.34797288345407	8.19313050419217	8.35236347718846	8.17534814735631	8.15353812977449	7.89197023509947	7.82208618434832	7.80395101358393	8.16847603328916	8.07146063381915	8.13574064859218
"20"	"RAX2"	"RAX2"	5.18260381343828	5.18260381343828	5.27775237134237	5.18260381343828	5.18260381343828	5.18260381343828	5.18260381343828	5.18260381343828	5.18260381343828	4.97354335368045	5.18260381343828	5.18260381343828
"21"	"MFAP3"	"MFAP3"	7.87724730033674	7.97156882956391	7.96725618691994	8.33663694126242	8.37663775708274	8.56124884617706	8.0391712207852	7.90438469123718	8.06024774396168	8.08119136790728	8.14244629400863	8.16018218766127
"22"	"GIMAP1"	"GIMAP1"	3.7196524909131	3.69817604886816	3.58720400998076	7.22005637989288	7.28779072268525	7.23180325473598	7.61753363381109	7.6818293617762	7.61247768220088	8.26616390999286	8.06780662878841	8.26849202588968
"23"	"FAM122C"	"FAM122C"	5.14993486982916	5.18025662358176	5.1500922998682	5.14993486982916	5.1500922998682	4.76073711347992	5.1500922998682	5.1500922998682	5.1500922998682	5.20096217606318	5.38000595647839	5.15141531379141
"24"	"RBBP6"	"RBBP6"	8.59513189237515	7.97248161589474	8.77009343197325	8.82960392368808	9.23753344800048	8.97046198810129	10.5283792115902	10.6089965090126	10.6123101149082	10.5453756656551	10.2081928336434	10.1647076517169
"25"	"CENPBD1"	"CENPBD1"	5.62964595086805	5.8508131536648	5.89273932892905	7.04708533220546	6.36613466490977	6.54917397935554	5.94621367385948	6.2787090710297	6.15712911805076	5.91998946591614	5.85618307933991	6.11747383050166
"26"	"TRIOBP"	"TRIOBP"	8.99091637292387	8.87180008000303	8.99200091925538	8.70119212007527	8.84892807044527	8.95344456270185	8.89183415091026	8.98555459441475	8.95344456270185	9.07448710778061	8.95344456270185	8.97919463681422
"27"	"CATSPER1"	"CATSPER1"	6.26027929530917	6.40106049184951	6.1785608228541	5.93594902196053	5.86279388733933	6.0208665867375	6.15128700006444	6.17951483512064	6.22463191447831	5.89102172239552	6.17951483512064	5.8966421824967
"28"	"CNOT7"	"CNOT7"	11.7791264627873	12.0144033679211	11.6652186992841	12.1535088698367	11.8622275596664	12.0241151631602	11.9227555610424	11.8463879123172	11.8548025390011	11.6629820395705	11.6641520135608	11.6418189659606
"29"	"CRYZL1"	"CRYZL1"	8.84187118414866	8.88777572584239	8.7428632197938	8.8695373735834	8.88192016714831	8.87637051275562	8.67354683009271	8.82458957430067	8.84497750606302	8.8695373735834	8.90275845454605	8.9402204839413
"30"	"TIRAP"	"TIRAP"	4.89884693302614	4.8238313420917	5.23321409999998	5.4578742964218	4.8310936888451	4.862106325027	5.34160711715335	5.67878388020036	5.20124793216256	3.82669809128566	4.35420972275033	4.00401646033517
"31"	"C4orf33"	"C4orf33"	7.01407669813142	7.33265833609872	7.12987271171264	6.93577705718548	6.44085462102009	6.98254226725996	7.11636659666061	6.91144251792032	7.37176650217071	7.01407669813142	7.39331530979418	7.4262500721972
"32"	"FAM71A"	"FAM71A"	3.94225932833661	4.18313146924261	4.27571064727032	3.74959092684223	3.89401745789727	3.94225932833661	4.11626146925555	3.87379042350449	4.64616797286509	3.71358851346936	4.2194321823169	3.94225932833661
"33"	"C1orf65"	"C1orf65"	4.16713262031558	4.18702504759561	4.20690198492292	4.11917121747236	4.18271741672256	4.03251853431295	4.27996670793654	4.18702504759561	4.59549495153541	4.23040913760469	4.31606605418309	4.11910861920166
