ADD.0	X.0	Y.0	XY.0	X.ADD	Y.ADD	XY.ADD	Y.X	XY.X	XY.Y	case	outcome	type	case.sym	class	symmetric.class	dominance
0	0	0	-1	0	0	-1	0	-1	-1	1	1	N	1	1	1	no-dominance-sym
0	0	0	0	0	0	0	0	0	0	1	2	A	1	2	2	co-dominance
0	0	0	1	0	0	1	0	1	1	1	3	P	1	3	3	no-dominance-sym
-1	-1	-1	-1	1	1	-1	0	-1	-1	2	1	N	2	4	4	no-dominance-sym
-1	-1	-1	-1	1	1	0	0	-1	-1	2	2	A	2	5	5	no-dominance-sym
-1	-1	-1	-1	1	1	1	0	-1	-1	2	3	P	2	6	6	no-dominance-sym
-1	-1	-1	-1	1	1	1	0	0	0	2	4	P	2	7	7	co-dominance
-1	-1	-1	-1	1	1	1	0	1	1	2	5	P	2	8	8	no-dominance-sym
-1	-1	-1	0	1	1	1	0	1	1	2	6	P	2	9	9	no-dominance-sym
-1	-1	-1	1	1	1	1	0	1	1	2	7	P	2	10	10	no-dominance-sym
1	1	1	-1	-1	-1	-1	0	-1	-1	3	1	N	3	11	11	no-dominance-sym
1	1	1	0	-1	-1	-1	0	-1	-1	3	2	N	3	12	12	no-dominance-sym
1	1	1	1	-1	-1	-1	0	-1	-1	3	3	N	3	13	13	no-dominance-sym
1	1	1	1	-1	-1	-1	0	0	0	3	4	N	3	14	14	co-dominance
1	1	1	1	-1	-1	-1	0	1	1	3	5	N	3	15	15	no-dominance-sym
1	1	1	1	-1	-1	0	0	1	1	3	6	A	3	16	16	no-dominance-sym
1	1	1	1	-1	-1	1	0	1	1	3	7	P	3	17	17	no-dominance-sym
1	1	0	-1	0	-1	-1	-1	-1	-1	4	1	N	4	18	23	no-dominance
1	1	0	0	0	-1	-1	-1	-1	0	4	2	N	4	19	24	Y-dominance
1	1	0	1	0	-1	-1	-1	-1	1	4	3	N	4	20	25	no-dominance
1	1	0	1	0	-1	0	-1	0	1	4	4	A	4	21	26	X-dominance
1	1	0	1	0	-1	1	-1	1	1	4	5	P	4	22	27	no-dominance
1	0	1	-1	-1	0	-1	1	-1	-1	5	1	N	4	23	18	no-dominance
1	0	1	0	-1	0	-1	1	0	-1	5	2	N	4	24	19	X-dominance
1	0	1	1	-1	0	-1	1	1	-1	5	3	N	4	25	20	no-dominance
1	0	1	1	-1	0	0	1	1	0	5	4	A	4	26	21	Y-dominance
1	0	1	1	-1	0	1	1	1	1	5	5	P	4	27	22	no-dominance
-1	-1	0	-1	0	1	-1	1	-1	-1	6	1	N	5	28	33	no-dominance
-1	-1	0	-1	0	1	0	1	0	-1	6	2	A	5	29	34	X-dominance
-1	-1	0	-1	0	1	1	1	1	-1	6	3	P	5	30	35	no-dominance
-1	-1	0	0	0	1	1	1	1	0	6	4	P	5	31	36	Y-dominance
-1	-1	0	1	0	1	1	1	1	1	6	5	P	5	32	37	no-dominance
-1	0	-1	-1	1	0	-1	-1	-1	-1	7	1	N	5	33	28	no-dominance
-1	0	-1	-1	1	0	0	-1	-1	0	7	2	A	5	34	29	Y-dominance
-1	0	-1	-1	1	0	1	-1	-1	1	7	3	P	5	35	30	no-dominance
-1	0	-1	0	1	0	1	-1	0	1	7	4	P	5	36	31	X-dominance
-1	0	-1	1	1	0	1	-1	1	1	7	5	P	5	37	32	no-dominance
1	1	1	-1	-1	-1	-1	1	-1	-1	8	1	N	6	38	47	no-dominance
1	1	1	0	-1	-1	-1	1	-1	-1	8	2	N	6	39	48	no-dominance
1	1	1	1	-1	-1	-1	1	-1	-1	8	3	N	6	40	49	no-dominance
1	1	1	1	-1	-1	-1	1	0	-1	8	4	N	6	41	50	Y-dominance
1	1	1	1	-1	-1	-1	1	1	-1	8	5	N	6	42	51	no-dominance
1	1	1	1	-1	-1	-1	1	1	0	8	6	N	6	43	52	X-dominance
1	1	1	1	-1	-1	-1	1	1	1	8	7	N	6	44	53	no-dominance
1	1	1	1	-1	-1	0	1	1	1	8	8	A	6	45	54	no-dominance
1	1	1	1	-1	-1	1	1	1	1	8	9	P	6	46	55	no-dominance
1	1	1	-1	-1	-1	-1	-1	-1	-1	9	1	N	6	47	38	no-dominance
1	1	1	0	-1	-1	-1	-1	-1	-1	9	2	N	6	48	39	no-dominance
1	1	1	1	-1	-1	-1	-1	-1	-1	9	3	N	6	49	40	no-dominance
1	1	1	1	-1	-1	-1	-1	-1	0	9	4	N	6	50	41	X-dominance
